customerID,tenure,MonthlyCharges,TotalCharges,Contract,Churn
5447-GWVC,41,116.85,3908.84,One year,No
8246-JAWE,29,99.87,6743.18,Month-to-month,No
2738-SHAY,15,49.28,1847.79,Two year,No
0747-RQMU,45,118.0,3109.83,One year,Yes
0263-PMNL,65,80.19,6486.41,Month-to-month,No
7372-GDFD,71,78.24,6606.63,Month-to-month,No
5712-MSZN,9,94.81,3138.43,One year,Yes
2112-EANH,1,101.18,3727.08,Month-to-month,No
9561-WMWO,8,85.65,2495.96,One year,No
4410-YMVK,63,32.81,7467.18,One year,No
0601-OHZD,11,53.83,1037.29,One year,No
7672-NLLW,8,112.81,7476.62,Two year,No
9366-TYFF,35,42.46,5502.54,One year,No
6110-ALPH,35,57.22,4299.42,Month-to-month,No
2774-RYUQ,33,63.21,358.01,Two year,No
6945-QXVB,5,63.94,3857.21,Month-to-month,Yes
1375-HDRS,41,81.29,3321.21,Two year,No
9540-BLIG,28,114.31,1373.63,Two year,No
0985-YZRH,7,44.07,5285.64,Two year,No
0746-XEPQ,72,32.15,7772.09,Two year,No
4033-RWIS,12,39.75,4541.29,Month-to-month,No
2985-LIIZ,34,108.69,5746.55,One year,Yes
4596-OKEJ,33,84.58,640.76,Month-to-month,No
7672-OYLS,48,48.59,3399.57,One year,No
1962-EOOC,23,101.59,1019.23,Month-to-month,No
9941-VMSN,62,106.14,4941.09,Two year,No
2892-OJXN,37,104.65,7514.01,Two year,No
8827-KYNV,44,111.89,5328.04,One year,No
2259-MDOI,35,45.22,706.74,One year,No
5543-ESOG,65,95.5,2901.86,Month-to-month,Yes
7077-VKRV,47,66.05,4450.24,One year,No
9405-PWWL,3,104.2,3285.34,Month-to-month,No
5474-REMZ,1,92.85,6685.79,One year,No
3668-WWJI,5,97.64,6535.9,One year,No
7780-BQXZ,14,85.62,4933.47,One year,No
7406-WLSX,27,37.74,3050.32,Two year,No
0723-DNOU,9,74.5,2117.16,Two year,Yes
1086-GXDL,15,118.47,936.41,Month-to-month,No
2208-XREL,42,113.74,2903.69,One year,No
3564-GVFK,51,24.32,3364.06,Month-to-month,No
4255-ZHZR,63,36.48,5439.0,One year,No
2567-BPMX,52,33.17,5299.46,Two year,Yes
2763-QQRS,4,92.6,653.85,Two year,Yes
6869-QILP,23,101.78,3222.55,One year,Yes
7027-EDOZ,15,41.35,1536.05,One year,No
5982-VMUT,43,70.59,1338.82,Two year,Yes
3191-ZWSZ,29,104.07,6635.69,Two year,No
9837-ANLR,36,93.28,431.13,Month-to-month,No
6589-CGAW,13,74.22,3411.54,Two year,No
5920-VXHK,32,79.03,1428.81,One year,No
1934-CXDL,71,70.84,7046.71,Month-to-month,No
6794-TEKC,59,49.75,4500.62,One year,Yes
4490-JLYW,28,76.5,1927.91,Month-to-month,No
0659-JKED,66,88.89,4069.18,One year,No
8466-PAUG,42,107.33,5878.74,Two year,No
1507-FFWI,45,83.63,7669.13,One year,No
1908-DDGE,62,96.11,1841.52,Month-to-month,No
6007-GIEB,57,36.01,7100.84,One year,Yes
7574-UNCN,6,66.16,7481.0,Month-to-month,No
9078-NLZB,28,20.93,7339.72,One year,No
4464-XBCP,28,44.67,5119.77,Two year,No
0265-IZNL,44,92.65,5075.58,Two year,No
6078-QTSF,30,119.18,3285.36,One year,No
4234-KCLR,62,29.92,6043.94,One year,No
3190-VCCT,62,60.15,4297.22,One year,No
8555-IDJR,1,100.01,5451.76,Month-to-month,No
7879-PJPF,27,40.4,3484.82,One year,No
6218-JTOU,62,75.51,5878.82,One year,Yes
8986-QAYV,3,93.31,6613.32,Month-to-month,No
2173-IAWO,70,81.6,1256.85,Two year,No
4160-TFKI,72,38.8,6680.14,One year,Yes
3775-CBEQ,27,55.54,4368.34,One year,Yes
6264-LHTC,9,98.38,6772.86,Two year,Yes
4264-RBKP,62,75.42,3507.28,Two year,Yes
0321-GIAT,37,20.52,3094.42,Month-to-month,No
1375-VUBW,51,96.1,7328.98,One year,No
0098-OOSK,44,23.53,2084.24,One year,No
1038-QVXC,24,94.57,6769.28,Month-to-month,No
8255-KIII,59,40.25,3923.76,Two year,No
1515-XJSV,32,115.81,4161.35,Month-to-month,Yes
8211-PTRE,52,56.79,2536.9,Two year,No
7477-LYOQ,62,52.69,4627.03,Month-to-month,No
6861-BLHH,58,34.89,2669.17,Two year,No
0534-BVBW,52,50.56,410.23,Month-to-month,No
8654-OUXL,12,107.67,2248.79,Two year,No
8634-DBCX,39,119.63,150.39,Two year,Yes
3751-GLLN,2,56.83,7829.0,Two year,No
1324-IPUQ,3,64.86,7729.4,Two year,No
0062-SRXW,56,92.21,3221.73,Two year,No
3513-ZSKP,59,108.62,5854.13,One year,No
9337-VRVT,2,79.3,2831.87,Two year,Yes
6564-JJEF,2,59.15,5401.64,One year,No
9421-CVCU,54,61.26,6462.9,Two year,Yes
8803-TDJE,1,89.56,7579.37,One year,No
8781-LKRG,19,20.32,3261.68,One year,No
4274-NIVM,2,81.96,6288.05,Month-to-month,No
8399-MHJN,53,55.55,2200.83,Two year,Yes
9881-GQWO,44,99.42,7923.63,Month-to-month,No
1882-THXD,32,29.3,303.58,Month-to-month,No
4924-JABN,70,78.82,4867.88,Two year,No
2930-YVQU,32,68.1,5310.1,Month-to-month,Yes
1286-DSLA,68,84.23,5535.56,Two year,No
0285-SNCH,55,26.49,1051.06,Month-to-month,No
3047-LCXP,56,78.0,7514.39,Two year,Yes
0521-LPGK,17,76.15,1531.35,Two year,No
6090-NNZO,38,76.07,5019.75,Two year,No
3469-GAUI,24,80.35,1859.14,One year,No
7677-IBOV,69,87.65,2527.01,Month-to-month,No
1746-QVBU,70,100.5,4417.02,One year,No
4201-BYNZ,11,46.98,3395.83,Month-to-month,No
5271-JUWI,16,102.5,1365.78,Month-to-month,Yes
1387-XKZM,59,69.83,1450.4,Month-to-month,No
4958-SCPV,70,27.71,3403.34,One year,No
5306-HPLR,3,25.86,6082.54,Month-to-month,No
3083-ZHZY,20,53.42,7193.92,One year,No
0638-RYDP,59,98.49,764.61,Two year,No
7007-JJOP,36,90.77,3205.52,Month-to-month,No
6937-ONKQ,19,98.86,891.94,Month-to-month,No
2174-KOGG,67,71.73,231.08,Two year,No
4929-MDWL,19,64.02,5327.58,Two year,No
8406-VIJB,20,34.75,4859.35,Month-to-month,Yes
5887-YQUN,71,52.82,1387.85,Two year,Yes
1217-AOJU,52,63.4,1947.12,One year,No
5603-ZSNT,33,28.86,287.29,One year,No
8096-LRIW,40,42.06,6696.08,Month-to-month,No
7619-LXBD,39,79.82,7800.06,One year,Yes
1137-IYXV,1,93.57,1170.13,One year,Yes
2651-HNNE,11,119.83,1928.65,Month-to-month,Yes
9167-PVOV,57,113.31,6960.44,Two year,Yes
0065-QTKQ,50,84.26,7419.06,Month-to-month,Yes
4629-MURH,23,62.12,3415.06,One year,No
0044-FPIS,31,83.62,499.92,Month-to-month,No
7891-JOIM,42,98.57,411.2,Month-to-month,No
2202-JPGW,7,31.83,4634.2,One year,No
1353-TMNM,16,60.99,3203.87,One year,No
3095-ZFJB,60,103.98,326.35,Month-to-month,Yes
4864-NWLW,2,58.38,4707.69,One year,Yes
7734-OFOB,1,77.19,189.29,One year,No
5729-RDZK,48,78.78,6320.24,One year,No
7397-FNNB,12,38.45,2520.82,One year,No
1344-PNIP,69,56.22,418.04,One year,No
1972-IVNS,37,53.45,4747.98,One year,No
2836-ZPUS,32,22.62,3241.71,Two year,No
6049-UUPS,9,22.42,7793.02,Month-to-month,No
5166-VDRA,19,103.17,4399.17,One year,No
9103-DRKU,48,47.31,2274.39,Month-to-month,No
9870-DFIR,3,71.81,5704.57,Two year,No
5319-IJUS,20,49.87,2244.79,One year,Yes
6661-GOFZ,24,114.07,7243.52,Month-to-month,No
2227-IJYU,54,45.93,3060.3,One year,No
2163-ZVYU,33,62.97,4443.96,One year,No
2273-LGMF,24,107.27,499.53,One year,No
5961-QPGR,72,104.19,3466.36,One year,No
5604-SCUA,36,38.61,6675.67,One year,No
5949-WMFZ,38,100.26,6464.63,One year,No
3690-ONSY,25,65.82,1872.12,One year,No
9181-XZKM,18,68.3,1886.02,Two year,No
9998-AOCZ,66,33.35,6556.71,Two year,No
2954-YWMF,54,28.06,7450.15,One year,No
1142-ETUO,35,92.79,853.35,One year,Yes
7188-VNCR,61,69.65,3655.46,Two year,Yes
1132-GGTY,41,63.69,2765.89,Two year,No
3706-SBDH,33,92.95,6978.44,Two year,No
4587-IDXH,68,96.55,759.85,One year,No
6211-TPKO,33,35.89,1767.89,Month-to-month,Yes
4562-GTWC,14,81.02,6044.5,Month-to-month,No
4705-BONO,21,33.54,505.22,Month-to-month,No
1351-FPCN,48,95.14,3991.03,Month-to-month,No
8454-BMUS,20,85.7,3592.65,One year,Yes
3875-BIBZ,8,115.66,2741.77,Month-to-month,No
9090-KTTZ,7,26.9,3217.12,Two year,No
6493-WXJR,67,25.71,4286.53,Two year,No
6563-ENNS,17,48.22,1374.8,Month-to-month,Yes
2002-RONV,33,46.17,4618.77,Two year,No
2329-SCVK,48,44.7,6462.92,One year,No
7802-CAPS,59,110.63,6105.27,Month-to-month,Yes
0742-FWBN,22,44.95,1315.81,Month-to-month,No
2873-PRIH,30,47.19,1279.07,One year,No
1623-BYWX,38,95.94,2218.58,Two year,Yes
6449-YRUI,51,64.97,2952.49,One year,No
4137-MWHS,54,97.67,3326.8,One year,No
8959-ODGF,8,26.54,5469.61,Two year,No
6980-SEGR,27,68.76,547.78,One year,Yes
6817-SOMW,27,23.36,373.91,Two year,Yes
3909-ZDZM,21,26.27,3196.09,Two year,No
2629-OUJN,30,110.64,5607.59,One year,No
3254-CZMV,28,33.92,1628.14,Two year,Yes
9345-FDGY,64,73.24,5167.89,One year,Yes
5413-JVMR,69,61.11,2152.64,Two year,Yes
6289-QMEU,61,54.73,7100.08,Month-to-month,No
1749-OQBA,48,109.98,7175.95,Two year,No
8967-KVGS,19,22.18,2448.57,Two year,No
0536-RQMM,4,86.38,1916.95,One year,Yes
0505-HZAV,35,116.34,3349.3,Two year,No
6891-CDEN,64,76.02,2000.2,Month-to-month,Yes
8233-KOZF,49,113.68,5411.83,Month-to-month,No
6868-TCJO,17,25.23,6625.91,Two year,No
0014-LUOW,44,61.88,5417.43,Two year,No
0502-WXMB,30,46.02,6612.37,Month-to-month,No
0985-AYIY,46,93.08,3236.24,One year,Yes
5773-CEGV,6,118.13,1334.9,Month-to-month,Yes
3837-DZSN,37,45.65,5929.81,Month-to-month,No
9048-ITYK,24,85.42,2947.75,Two year,No
7029-MJYL,46,39.81,5403.04,Two year,No
6606-USCE,53,76.53,2238.09,Month-to-month,No
7673-CAIJ,60,66.39,741.71,One year,No
2114-OKAJ,63,117.2,7941.4,Month-to-month,Yes
0533-HKCX,32,80.85,1333.99,Month-to-month,Yes
9951-JDHM,33,54.95,7908.53,One year,No
0444-BGGQ,67,31.41,7820.51,Month-to-month,Yes
5113-YIQU,18,35.12,6371.16,Month-to-month,No
3388-ZDIY,25,42.53,5309.44,Two year,Yes
2399-HSMO,54,45.1,4664.68,One year,No
2383-COPO,58,105.06,6942.2,Two year,No
6594-SLHS,67,76.12,2386.57,Two year,Yes
8744-QGRS,46,72.34,3794.68,One year,No
7094-KNXR,24,31.48,4993.18,One year,No
5738-NQCT,32,106.01,3348.4,Month-to-month,No
6360-ZRKT,47,92.28,3477.14,Two year,Yes
9402-NNPO,23,26.77,2709.25,One year,No
4375-NIAC,66,90.78,4557.43,Two year,Yes
4919-DILF,27,74.35,6819.54,Two year,No
4446-IHVC,2,28.17,1692.07,One year,No
8661-ZGEE,17,65.83,7482.02,Month-to-month,Yes
5924-EQLA,33,68.47,5543.79,Two year,No
6153-SFTV,9,36.58,6603.86,One year,No
0181-ILGW,43,114.57,4493.91,Month-to-month,No
5656-PJVQ,48,105.0,6258.18,Two year,No
8726-CDDH,39,86.9,227.98,One year,No
1654-DJEQ,42,66.23,6565.21,Two year,No
6695-MDIL,26,61.18,417.1,One year,Yes
0301-VZNM,50,85.1,7130.32,One year,No
6484-CATH,25,74.54,7936.51,Two year,Yes
2514-TTOC,24,26.23,2423.13,Two year,No
1783-VBSO,13,71.25,1761.52,One year,No
9187-HZLJ,60,100.64,6146.37,Month-to-month,No
8497-GVPJ,7,65.92,2098.91,Two year,No
7611-FFBJ,57,25.2,6937.94,One year,No
2537-HGWZ,36,98.63,912.46,One year,No
6097-XZWD,45,40.14,1095.05,Month-to-month,No
8278-TRMP,20,45.86,7835.3,Month-to-month,No
2446-WCNH,65,36.47,5423.33,Month-to-month,No
9393-AUTT,8,53.02,6790.41,Two year,Yes
4630-NFLF,16,95.68,2662.2,One year,No
2835-OMIR,14,71.94,5444.22,One year,No
0074-DWLA,15,40.49,4794.51,One year,Yes
9261-QEYH,66,107.78,4864.89,Month-to-month,Yes
6239-EKHS,32,107.96,5492.01,One year,No
2670-MDFR,63,107.06,4645.34,Two year,No
0689-KDBJ,51,43.88,3489.59,Month-to-month,No
7138-DUTD,25,65.12,2279.79,Month-to-month,No
9150-QLSQ,58,118.5,6171.79,Month-to-month,Yes
1468-CCTP,63,97.2,1887.55,Month-to-month,Yes
3931-HCOP,62,22.72,5569.6,Two year,No
6768-RHNN,22,26.52,1943.33,One year,No
7208-YMCM,58,66.39,5040.11,Two year,No
5599-YDWO,58,110.92,6001.92,One year,Yes
3679-UABG,49,73.87,1827.84,Two year,No
0075-QNKS,52,69.78,573.55,Month-to-month,No
0562-INFV,42,30.55,1134.69,Month-to-month,No
5368-RBSS,70,85.68,4887.38,Two year,No
8004-LPIT,15,102.21,6810.63,Two year,No
7177-EYNU,54,58.04,455.47,One year,No
7117-GXUA,60,97.56,5899.79,Two year,Yes
8207-OCLJ,8,116.45,2796.42,Two year,Yes
4532-COSF,53,40.38,3880.37,One year,No
5082-MJDY,60,72.33,7437.99,One year,No
8597-KIKS,5,48.71,2722.57,One year,No
2035-XEUZ,68,99.29,3776.16,Two year,No
9042-VIOA,6,77.76,208.09,One year,No
2536-MPMU,47,83.46,744.63,Month-to-month,No
1972-AKGJ,55,99.79,2142.87,Month-to-month,No
8890-RWSC,40,59.6,320.03,Month-to-month,Yes
5240-ZSCX,52,111.51,5087.87,Two year,Yes
8573-ZCCD,16,73.3,3468.55,Month-to-month,No
8054-ZGGI,13,35.8,4430.35,Two year,No
8773-HBFU,30,89.59,1479.71,Two year,Yes
5114-KNZF,19,99.33,2437.86,Month-to-month,No
3211-RVSB,17,51.68,5344.21,One year,Yes
8302-JNRG,63,105.72,7725.89,Two year,No
9044-TGMU,19,110.61,498.29,Month-to-month,No
1089-DVJQ,58,47.69,7134.04,Two year,No
6528-ABXL,55,118.35,4657.36,One year,Yes
1983-BLEO,62,34.07,4554.96,One year,No
8306-EFEH,23,40.2,4052.2,Month-to-month,No
8062-HKOB,9,38.42,648.21,Two year,Yes
2118-NQUU,12,109.4,810.03,Two year,Yes
9735-MXNK,1,85.43,4847.2,Two year,No
1328-UBZN,58,35.21,2793.57,Two year,No
7991-RGVX,1,64.03,7346.42,Month-to-month,No
0928-UJVV,34,81.53,3312.07,One year,No
1586-XASY,48,28.35,1231.92,Month-to-month,No
5519-WMIM,1,108.24,5746.28,Two year,Yes
0225-AXFD,16,100.36,2417.49,Two year,Yes
7983-APXU,61,70.52,4251.22,One year,No
8893-YKCH,64,116.71,5612.88,Two year,No
1197-YQEZ,63,61.78,7212.09,Month-to-month,No
6972-PEHR,69,118.41,6358.31,Month-to-month,No
1799-KZZA,22,86.79,5443.25,One year,No
6992-OYDT,67,83.47,5469.1,Month-to-month,No
2918-CSQX,26,36.6,7572.8,Month-to-month,No
4220-GCAK,16,108.19,2437.01,Month-to-month,No
7984-JOCM,51,62.75,108.79,Month-to-month,Yes
8661-BVHI,57,36.22,2248.44,Two year,No
9013-TOXC,29,21.26,1821.34,Month-to-month,Yes
5640-YEXE,69,75.98,5328.49,One year,No
1216-SSGH,47,72.74,5106.32,One year,No
2058-DJLH,62,91.94,4788.34,Month-to-month,No
6610-EHCV,69,109.03,228.32,One year,No
3346-COEX,16,27.94,5857.35,Month-to-month,Yes
3424-FGBT,48,93.15,2655.89,One year,No
6035-ZPOV,39,38.74,5353.94,One year,No
8458-MWMC,33,105.82,4496.97,Month-to-month,No
9759-URQD,23,101.91,2807.57,Month-to-month,No
7199-VDLZ,10,74.08,1163.15,Two year,No
4968-GXXB,69,91.02,845.91,Month-to-month,No
3332-LWUQ,34,51.44,6668.99,Month-to-month,No
5441-PTYY,52,67.12,7355.34,Two year,Yes
5125-IKJM,10,102.16,5233.33,Month-to-month,No
6021-PSBX,19,65.93,917.13,Month-to-month,No
3279-XAVH,58,55.78,3276.02,Two year,No
2460-WDZL,1,69.42,5858.62,Month-to-month,No
8246-EFVT,69,102.82,6260.58,Month-to-month,No
7885-EIND,4,53.52,1033.93,Two year,No
8801-VVGL,16,37.38,100.24,Two year,No
9728-NQDA,24,91.2,5725.88,One year,No
3518-PJEX,2,102.6,2917.11,Month-to-month,No
7623-EOZW,32,30.06,2110.4,One year,Yes
6624-AUTA,24,43.99,201.89,One year,No
9660-GUHZ,12,34.2,4368.37,Two year,No
6433-GMRV,50,54.79,6824.09,Month-to-month,No
3156-VJQP,35,65.04,7665.29,Month-to-month,Yes
2109-QWGS,33,94.88,4569.39,Two year,No
8217-XUUP,33,85.11,4164.24,One year,Yes
6676-ZGKK,61,82.09,771.95,Two year,Yes
0751-SFNU,51,55.24,4436.1,Month-to-month,Yes
9658-VWEC,43,104.14,3101.83,Two year,No
1287-ERIC,12,67.13,4896.37,Month-to-month,Yes
3737-IGHW,67,117.91,3170.94,One year,No
4859-BXNW,65,83.41,1998.36,Month-to-month,Yes
3208-DFKO,33,32.63,850.23,One year,No
9437-UMQE,40,87.62,2587.86,One year,No
6027-ETMT,43,52.51,863.49,Month-to-month,No
0664-ZJAF,44,88.63,1497.49,Month-to-month,No
3038-ERQG,29,26.96,7899.96,One year,No
6313-PEVH,13,37.49,3608.42,Two year,No
2753-XZIX,12,105.57,4301.79,Month-to-month,No
3199-KFSD,46,42.72,7001.59,One year,Yes
7513-QAWG,2,103.7,7964.99,One year,No
5096-QARK,35,47.93,4703.44,Two year,Yes
3541-SQHR,8,84.29,6518.54,Month-to-month,No
6261-VCSD,26,89.42,2682.83,One year,No
1111-GNFS,34,71.27,2515.38,Two year,No
2042-YIAR,7,50.53,3281.36,One year,No
9861-CNSC,68,41.26,5412.81,Month-to-month,No
2292-MCEB,58,23.32,5489.31,Two year,No
2837-CTBW,29,50.39,2590.39,One year,No
6134-QWCV,36,85.32,1152.36,Two year,No
1492-KWUQ,21,113.83,5095.93,Month-to-month,No
7160-YEKP,36,107.12,1113.77,Two year,Yes
8613-JARV,10,96.61,4670.09,Month-to-month,No
9191-KBGI,24,98.84,5578.03,One year,Yes
7675-OZRI,64,86.5,5634.83,Month-to-month,No
5706-GIRK,49,46.03,6052.43,One year,No
8590-QEWW,36,110.72,6995.59,One year,Yes
8042-ZBFQ,24,87.07,4049.68,Month-to-month,Yes
4248-LWLD,23,76.04,5868.97,One year,No
4614-OACP,62,31.1,4991.46,Two year,No
6352-RYJB,37,64.71,1574.46,One year,No
2456-MRSC,12,66.04,302.95,Month-to-month,No
7238-ZHNS,55,106.46,2347.88,Two year,No
0117-SCPE,13,74.66,3599.97,Two year,No
9347-SCKY,23,58.04,4975.14,One year,No
8574-RYDM,30,117.68,6814.68,One year,No
5098-MNXE,17,31.07,1650.34,Month-to-month,No
5713-PWNK,62,62.25,1091.84,Two year,No
9972-ZZLD,13,24.2,7711.49,Month-to-month,No
4772-SWSY,59,93.99,953.55,One year,No
6262-IRZQ,19,111.81,3880.08,Two year,No
9563-DJMO,49,48.0,4725.95,Month-to-month,No
6478-HWVN,12,105.83,4376.86,Month-to-month,No
0161-TEHG,61,49.22,779.65,Month-to-month,No
8627-AVCW,19,111.08,550.51,Month-to-month,No
7875-GUUH,9,95.4,933.32,Month-to-month,No
6939-ZIOA,71,100.49,4726.14,Two year,No
2678-VXSQ,28,21.8,4400.32,Month-to-month,No
7567-ZHER,52,116.28,1946.55,Two year,No
1153-LODP,16,92.67,5138.42,Month-to-month,Yes
2371-DIBY,69,50.48,6578.53,One year,No
6645-JUIF,12,102.94,428.47,One year,No
1054-NCFF,25,48.15,4035.23,Month-to-month,Yes
3327-NZVZ,52,107.28,5545.55,One year,Yes
0649-PQYR,53,31.26,2093.26,Two year,No
3993-OHXV,23,90.37,2531.39,Month-to-month,No
3840-XFNY,16,74.07,4947.74,Two year,No
1950-BRUW,57,29.65,7193.69,Month-to-month,No
4157-ZUQY,39,44.19,6498.4,One year,No
7143-CBUO,53,21.24,4706.73,Two year,No
5223-QLAR,42,66.88,5868.75,One year,No
5667-PSBY,58,50.13,2982.1,One year,No
1730-TLKR,39,79.84,5163.63,Month-to-month,No
4513-UOYD,14,49.72,3782.83,Two year,Yes
6977-JYOO,5,49.99,1600.5,One year,No
1055-YHTX,35,94.32,5643.73,Month-to-month,No
3465-EFVF,18,24.81,4496.07,Month-to-month,Yes
1788-YZLO,9,110.29,2933.11,Month-to-month,No
2007-MIDR,58,105.23,7299.58,One year,No
1693-LQHP,17,86.78,265.38,Month-to-month,No
5334-AGFT,7,79.32,2594.61,Two year,No
4817-WMJH,46,109.23,549.36,Two year,Yes
5168-WDOG,13,38.53,6155.57,One year,No
8000-NAPK,40,27.9,5646.65,Two year,No
5955-ZMUJ,42,43.95,2717.68,Month-to-month,Yes
2772-MNKN,9,99.46,5437.74,One year,No
6886-ENLE,50,23.47,3227.9,Month-to-month,No
9697-MJFM,27,78.28,6074.4,One year,Yes
0302-XJML,66,119.54,3688.05,One year,No
0937-NVVG,5,105.57,3357.01,Month-to-month,No
5163-QVNJ,29,72.14,7484.37,Two year,No
9538-MMPN,37,26.36,2081.94,Two year,No
1106-FEJS,38,103.14,1051.53,One year,No
1287-MMFE,8,79.9,4717.89,Month-to-month,No
8005-EQBO,65,31.49,7757.64,Month-to-month,No
0219-POAS,17,29.39,3084.93,One year,No
6204-ZWEV,71,110.96,590.09,Two year,Yes
6781-RGSI,45,86.92,2780.51,Month-to-month,No
4523-CFWN,4,102.93,4096.86,Two year,No
4104-PBUN,36,107.9,1379.19,Two year,No
1416-VXUQ,70,77.18,5299.01,One year,No
5305-FUUJ,31,71.74,7982.22,One year,No
5776-CDMG,19,63.04,3668.74,Two year,Yes
8284-ESUP,61,51.69,2902.36,Month-to-month,No
1066-IJEQ,54,63.46,3265.56,Month-to-month,No
2843-HRTK,39,97.39,1009.65,One year,No
7435-GHIS,19,80.19,7077.86,Two year,No
7867-LSEF,39,109.25,3377.12,Month-to-month,No
4356-SEZA,67,64.34,3159.47,Month-to-month,No
0194-BFCA,45,80.71,5311.55,One year,No
3965-SPYV,13,83.13,3592.06,Two year,No
6426-UHAP,58,79.17,5221.04,Month-to-month,No
5210-GAEZ,20,90.26,585.43,One year,No
7335-NTBC,72,43.74,6528.41,Month-to-month,Yes
2893-ZHPF,61,71.24,7529.98,Month-to-month,No
9524-CBHY,39,30.42,5225.25,Month-to-month,No
8988-OSZO,1,58.45,7641.07,One year,No
7794-LPAD,3,68.77,1296.32,Two year,No
0696-FIYN,62,85.22,3871.59,One year,Yes
0820-RVBY,63,115.05,4854.27,Two year,No
4382-YRXM,25,80.07,4695.72,Month-to-month,No
1782-FGQE,56,94.36,3271.55,Two year,No
1966-PTOB,33,70.63,2770.87,Month-to-month,No
4649-XWMZ,38,83.41,1101.91,Month-to-month,No
9225-BUMO,6,27.09,3194.77,One year,Yes
5361-ZSLR,58,45.44,1385.02,Month-to-month,No
0253-PGOG,44,56.19,5901.49,One year,No
4634-FSJW,45,67.25,1749.76,Two year,Yes
2115-FCHG,32,24.56,562.67,Two year,No
4319-DUEM,45,34.0,4463.69,Month-to-month,No
9857-UHOO,61,47.68,4802.31,One year,No
3608-MQLI,47,117.15,6988.11,Month-to-month,No
